HRU,subbasin
10022.0,1
10023.0,1
10024.0,1
10025.0,1
10026.0,1
10027.0,1
10028.0,1
10029.0,1
10030.0,1
10031.0,1
10032.0,1
10033.0,1
10034.0,1
10035.0,1
10036.0,1
10037.0,1
10038.0,1
10039.0,1
10040.0,1
10041.0,1
10042.0,1
10043.0,1
10044.0,1
10045.0,1
10046.0,1
10047.0,1
10048.0,1
10049.0,1
10050.0,1
10051.0,1
10052.0,1
10053.0,1
10054.0,1
10055.0,1
10056.0,1
10057.0,1
10058.0,1
10059.0,1
10060.0,1
10061.0,1
10062.0,1
10063.0,1
10064.0,1
10065.0,1
10066.0,1
10067.0,1
10068.0,1
10069.0,1
10070.0,1
10071.0,1
10072.0,1
10073.0,1
10074.0,1
10077.0,1
10078.0,1
10079.0,1
10080.0,1
10081.0,1
10082.0,1
10083.0,1
10084.0,1
10085.0,1
20001.0,2
20002.0,2
20026.0,2
20027.0,2
20028.0,2
20029.0,2
20030.0,2
20031.0,2
20032.0,2
20033.0,2
20034.0,2
20035.0,2
20036.0,2
20037.0,2
20038.0,2
20039.0,2
20040.0,2
20041.0,2
20042.0,2
20043.0,2
20044.0,2
20045.0,2
20046.0,2
20047.0,2
20048.0,2
20049.0,2
20050.0,2
20051.0,2
20052.0,2
20053.0,2
20054.0,2
20055.0,2
20056.0,2
20057.0,2
20058.0,2
20059.0,2
20060.0,2
20061.0,2
20062.0,2
20063.0,2
20064.0,2
20065.0,2
20066.0,2
20067.0,2
20068.0,2
20069.0,2
20070.0,2
20071.0,2
20072.0,2
20073.0,2
20074.0,2
20075.0,2
20076.0,2
20077.0,2
20078.0,2
20079.0,2
20080.0,2
20081.0,2
20082.0,2
20083.0,2
20084.0,2
20091.0,2
20092.0,2
20093.0,2
20094.0,2
20095.0,2
20096.0,2
20097.0,2
20098.0,2
20099.0,2
30021.0,3
30022.0,3
30023.0,3
30024.0,3
30025.0,3
30026.0,3
30027.0,3
30028.0,3
30029.0,3
30030.0,3
30031.0,3
30032.0,3
30033.0,3
30034.0,3
30035.0,3
30036.0,3
30037.0,3
30038.0,3
30039.0,3
30040.0,3
30041.0,3
30042.0,3
30043.0,3
30044.0,3
30045.0,3
30046.0,3
30047.0,3
30048.0,3
30049.0,3
30050.0,3
30051.0,3
30052.0,3
40001.0,4
40002.0,4
40003.0,4
40004.0,4
40005.0,4
40006.0,4
40024.0,4
40025.0,4
40026.0,4
40027.0,4
40028.0,4
40029.0,4
40030.0,4
40031.0,4
40032.0,4
40033.0,4
40034.0,4
40035.0,4
40036.0,4
40037.0,4
40038.0,4
40039.0,4
40040.0,4
40041.0,4
40042.0,4
40043.0,4
40044.0,4
40045.0,4
40046.0,4
40047.0,4
40048.0,4
40049.0,4
40050.0,4
40051.0,4
40052.0,4
40053.0,4
40054.0,4
40055.0,4
40056.0,4
40057.0,4
40058.0,4
40059.0,4
40060.0,4
40061.0,4
40062.0,4
40063.0,4
40064.0,4
40065.0,4
40066.0,4
40067.0,4
40068.0,4
40069.0,4
40070.0,4
40076.0,4
40077.0,4
40078.0,4
40079.0,4
40080.0,4
40081.0,4
40082.0,4
40083.0,4
40084.0,4
50040.0,5
50041.0,5
50042.0,5
50043.0,5
50044.0,5
50045.0,5
50046.0,5
50047.0,5
50048.0,5
50049.0,5
50050.0,5
50051.0,5
50052.0,5
50053.0,5
50054.0,5
50055.0,5
50056.0,5
50057.0,5
50058.0,5
50059.0,5
50060.0,5
50061.0,5
50062.0,5
50063.0,5
50064.0,5
50065.0,5
50066.0,5
50067.0,5
50068.0,5
50069.0,5
50070.0,5
50071.0,5
50072.0,5
50073.0,5
50074.0,5
50075.0,5
50076.0,5
50077.0,5
50078.0,5
50079.0,5
50080.0,5
50081.0,5
50082.0,5
50083.0,5
50084.0,5
50085.0,5
50086.0,5
50087.0,5
50088.0,5
50089.0,5
50090.0,5
50091.0,5
50092.0,5
50093.0,5
50094.0,5
50095.0,5
50118.0,5
50119.0,5
50120.0,5
50121.0,5
50122.0,5
50123.0,5
50124.0,5
50125.0,5
50126.0,5
50127.0,5
60026.0,6
60027.0,6
60028.0,6
60029.0,6
60030.0,6
60031.0,6
60032.0,6
60033.0,6
60034.0,6
60035.0,6
60036.0,6
60037.0,6
60038.0,6
60039.0,6
60040.0,6
60041.0,6
60042.0,6
60043.0,6
60044.0,6
60045.0,6
60046.0,6
60056.0,6
60057.0,6
60058.0,6
60059.0,6
60060.0,6
60061.0,6
60062.0,6
60063.0,6
60064.0,6
60065.0,6
60066.0,6
60067.0,6
70026.0,7
70027.0,7
70028.0,7
70029.0,7
70030.0,7
70031.0,7
70032.0,7
70033.0,7
70034.0,7
70035.0,7
70036.0,7
70037.0,7
70038.0,7
70039.0,7
70040.0,7
70041.0,7
70042.0,7
70043.0,7
70044.0,7
70045.0,7
70046.0,7
70047.0,7
70048.0,7
70049.0,7
70050.0,7
70051.0,7
70052.0,7
70053.0,7
70054.0,7
70055.0,7
70056.0,7
70057.0,7
70058.0,7
70059.0,7
70060.0,7
70061.0,7
70062.0,7
70063.0,7
70064.0,7
70065.0,7
70066.0,7
